Archean_Early_Mesoproterozoic_Faults,Felsic_granite,Mesoproterozoic_strata
0.632919615710771,0.8938433464699712,1.0
0.7840662490376539,0.8346564907120994,1.0
0.9185910084517526,0.805771415558798,1.0
0.9816001810896171,0.8019410021763668,1.0
0.9440231163401,0.8759588550020562,1.0
0.8854915015132351,0.920044364978042,1.0
0.9726056067871008,0.962662516256542,1.0
0.9684267328167914,1.0,1.0
0.9012409936303969,0.9991678457756423,1.0
0.8029273416003739,0.8713937861585538,1.0
0.9017988415909581,0.9475115048242274,1.0
0.976175848284047,1.0,1.0
0.8885194898253821,1.0,1.0
0.5306882043288977,0.9826643439521245,1.0
0.6648973584135468,0.9436698036671357,1.0
0.7796615231057009,0.9165190334081647,1.0
0.8335537630578166,0.876771102420233,1.0
0.8045444951033047,0.8516482441677997,1.0
0.7121486475675036,0.7968741844322667,1.0
0.8202594586242926,0.848434438131782,1.0
0.9623236700997829,0.8983488420969468,1.0
0.9456652394366587,0.9325529447973089,1.0
0.9435120386608267,0.8366302932317762,1.0
0.8624767038395851,0.9039763798571023,1.0
0.9797928138156015,1.0,1.0
0.9631672634545342,1.0,1.0
0.4185503356717274,1.0,1.0
0.5389776618275911,1.0,1.0
0.6294534684225962,1.0,1.0
0.6671107137915795,0.9908823060128799,1.0
0.6536896066470677,0.9663906355015455,1.0
0.7619297658575244,0.8746195615497517,1.0
0.9282503974187422,0.9068676038292699,1.0
0.8589582606119488,0.8651907507816211,1.0
0.8820534113090611,0.8655273343740251,1.0
0.9706133407742116,0.8542887595864099,1.0
0.8663124287827443,0.8743256050158269,1.0
0.9701851987372792,0.972227763023832,1.0
0.8381965792371164,1.0,1.0
0.7284598784947831,1.0,1.0
0.5800622418694492,1.0,1.0
0.9167651101110603,1.0,1.0
0.8935428046014213,0.9256362414562329,1.0
0.733167060592165,0.979680831278672,1.0
0.8845358793735602,0.9629324290138209,1.0
0.9908461471541397,0.8468333748474685,1.0
0.933172816644162,0.944898002510728,1.0
0.8717171884784847,1.0,1.0
0.8198681188866006,1.0,1.0
0.7420992796757611,1.0,1.0
0.7333621181653687,1.0,1.0
0.9634851442397181,1.0,1.0
0.793669902626036,0.9971728810358282,1.0
0.9287528429440088,0.9775014377267216,1.0
0.9609236054666584,0.9433542348117081,1.0
0.9881143974996176,0.9457124683119079,1.0
0.9637639630467749,1.0,0.9347701513842281
0.9701616431355488,1.0,1.0
0.9175929264261943,1.0,1.0
0.8564289266348466,1.0,1.0
0.9414474957419476,1.0,1.0
0.863158496209913,1.0,1.0
0.8733991475078539,1.0,1.0
0.9749835571496376,1.0,1.0
0.8899895587614273,0.9202427719144999,1.0
