DEM_9s_dx,DEM_9s_dy
-2.0970876,0.5127471
-10.805943,7.521027
3.539355,6.4070454
-1.6462656,4.6574225
-2.8550699,-10.18986
-2.2372677,5.573549
1.2616973,4.3665323
-14.615333,-6.987653
-1.5456938,0.71832
-5.887275,-6.6135697
4.8493476,10.837839
0.12699388,-0.7413046
19.541742,6.008536
6.7454467,-14.357664
1.1745597,2.7398553
-13.136251,-22.560099
-1.5125114,0.5383124
-1.6393647,10.254454
-12.522387,12.376477
1.171625,1.1339467
-3.1966734,-1.3272169
0.89062417,3.4006917
-11.315521,-12.815785
-16.684168,0.0014246998
-2.4396498,6.8788333
-2.097335,-0.8259366
-30.943556,-4.75737
2.5068047,10.094026
-9.268666,-12.5467825
-26.163057,-22.482847
-5.062051,0.027914777
37.743614,-23.424662
-14.791186,-12.117213
-2.7438397,0.72823507
-8.619449,2.4929438
9.842444,1.5590705
-2.657117,-15.913368
-2.1811528,-0.7381917
-15.703145,-16.594374
-1.5060441,7.6767464
-12.324983,-21.454376
10.700292,16.512695
30.016268,40.276497
-1.8899008,0.877653
-3.793539,2.4805892
-0.6835825,-1.2559355
-2.3161678,-14.083476
-0.7802802,7.987493
-9.300922,-4.619707
-0.35468605,2.4741683
-0.8962204,3.7114627
-11.068602,0.9382615
-0.4739041,0.39146575
0.11238585,-13.829521
-13.648765,4.6437473
-9.659234,11.394789
-1.3382924,-1.4676212
1.5588509,3.417959
-0.68567425,-13.738261
-29.921564,-26.017584
-0.99127024,0.67868423
0.5768122,11.407706
-5.9182086,-8.684308
-0.21133249,1.1844054
0.4247825,2.8193173
-3.5233355,-2.4566839
-0.10475087,4.0211506
17.810995,12.662344
4.5051384,-5.715121
-3.850914,-10.019045
-2.8223825,4.279429
-2.9638834,-6.3698425
-21.15974,-10.355583
-0.5982578,2.8890147
2.3040037,9.490217
-14.200164,-17.946735
-5.8050222,4.792072
21.529575,23.393318
-4.75293,-8.321656
0.12723064,-3.688869
0.7320106,5.303563
0.015353722,1.4808714
-2.696606,0.32576388
-0.44985348,2.8067195
-5.6255407,-7.1699915
-0.1414543,1.7088158
1.583343,0.38468128
-0.99322313,0.024540896
-10.127087,-16.012112
-0.858302,-7.432284
-2.4482422,-0.2194266
-0.12803727,-0.49681726
24.057188,-22.534636
32.25323,35.061596
-10.863519,-12.684551
-5.698292,-5.7213492
4.6157546,1.4817933
-22.982653,-21.164928
-1.4294558,-3.0068936
-1.1929346,-0.13405
-9.985014,0.19815719
-8.778847,5.3667994
1.3787954,2.5596783
0.4566036,21.566483
-0.25043386,0.53393406
-2.2494528,0.23629259
-10.212229,-7.0934634
2.6934505,6.1668496
10.993266,-14.009838
-6.6643414,-15.734468
1.806838,1.6107076
-3.440093,-0.36264202
-0.9764729,0.6312606
