X,Y
139.5564765,-29.9497938
139.5665686,-29.9497938
139.5766606,-29.9497938
139.5867526,-29.9497938
139.5968446,-29.9497938
139.6069367,-29.9497938
139.6170287,-29.9497938
139.6271207,-29.9497938
139.6372127,-29.9497938
139.6473048,-29.9497938
139.6573968,-29.9497938
139.6674888,-29.9497938
139.5362925,-29.94035741
139.5463845,-29.94035741
139.5564765,-29.94035741
139.5665686,-29.94035741
139.5766606,-29.94035741
139.5867526,-29.94035741
139.5968446,-29.94035741
139.6069367,-29.94035741
139.6170287,-29.94035741
139.6271207,-29.94035741
139.6372127,-29.94035741
139.6473048,-29.94035741
139.6573968,-29.94035741
139.6674888,-29.94035741
139.5463845,-29.93092102
139.5564765,-29.93092102
139.5665686,-29.93092102
139.5766606,-29.93092102
139.5867526,-29.93092102
139.5968446,-29.93092102
139.6069367,-29.93092102
139.6170287,-29.93092102
139.6271207,-29.93092102
139.6372127,-29.93092102
139.6473048,-29.93092102
139.6573968,-29.93092102
139.6674888,-29.93092102
139.5060164,-29.92148463
139.5161084,-29.92148463
139.5262004,-29.92148463
139.5362925,-29.92148463
139.5463845,-29.92148463
139.5564765,-29.92148463
139.5665686,-29.92148463
139.5766606,-29.92148463
139.5867526,-29.92148463
139.5968446,-29.92148463
139.6069367,-29.92148463
139.6170287,-29.92148463
139.6271207,-29.92148463
139.6372127,-29.92148463
139.6473048,-29.92148463
139.6573968,-29.92148463
139.6674888,-29.92148463
139.4959244,-29.91204824
139.5060164,-29.91204824
139.5161084,-29.91204824
139.5262004,-29.91204824
139.5362925,-29.91204824
139.5463845,-29.91204824
139.5564765,-29.91204824
139.5665686,-29.91204824
139.5766606,-29.91204824
139.5867526,-29.91204824
139.5968446,-29.91204824
139.6069367,-29.91204824
139.6170287,-29.91204824
139.6271207,-29.91204824
139.6372127,-29.91204824
139.6473048,-29.91204824
139.6573968,-29.91204824
139.6674888,-29.91204824
139.5060164,-29.90261185
139.5161084,-29.90261185
139.5262004,-29.90261185
139.5362925,-29.90261185
139.5463845,-29.90261185
139.5564765,-29.90261185
139.5665686,-29.90261185
139.5766606,-29.90261185
139.5867526,-29.90261185
139.5968446,-29.90261185
139.6069367,-29.90261185
139.6170287,-29.90261185
139.6271207,-29.90261185
139.6372127,-29.90261185
139.6473048,-29.90261185
139.6573968,-29.90261185
139.6674888,-29.90261185
139.5161084,-29.89317546
139.5262004,-29.89317546
139.5362925,-29.89317546
139.5463845,-29.89317546
139.5564765,-29.89317546
139.5665686,-29.89317546
139.5766606,-29.89317546
139.5867526,-29.89317546
139.5968446,-29.89317546
139.6069367,-29.89317546
139.6170287,-29.89317546
139.6271207,-29.89317546
139.6372127,-29.89317546
139.6473048,-29.89317546
139.6573968,-29.89317546
139.6674888,-29.89317546
139.5262004,-29.88373907
139.5362925,-29.88373907
139.5463845,-29.88373907
139.5564765,-29.88373907
139.5665686,-29.88373907
139.5766606,-29.88373907
139.5867526,-29.88373907
139.5968446,-29.88373907
139.6069367,-29.88373907
139.6170287,-29.88373907
139.6271207,-29.88373907
139.6372127,-29.88373907
139.6473048,-29.88373907
139.6573968,-29.88373907
139.6674888,-29.88373907
139.5362925,-29.87430267
139.5463845,-29.87430267
139.5564765,-29.87430267
139.5665686,-29.87430267
139.5766606,-29.87430267
139.5867526,-29.87430267
139.5968446,-29.87430267
139.6069367,-29.87430267
139.6170287,-29.87430267
139.6271207,-29.87430267
139.6372127,-29.87430267
139.6473048,-29.87430267
139.6573968,-29.87430267
139.6674888,-29.87430267
139.5564765,-29.86486628
139.5665686,-29.86486628
139.5766606,-29.86486628
139.5867526,-29.86486628
139.5968446,-29.86486628
139.6069367,-29.86486628
139.6170287,-29.86486628
139.6271207,-29.86486628
139.6372127,-29.86486628
139.6473048,-29.86486628
139.6573968,-29.86486628
139.6674888,-29.86486628
139.6775809,-30.01584853
139.6775809,-30.00641214
139.6876729,-30.00641214
139.6775809,-29.99697575
139.6876729,-29.99697575
139.6977649,-29.99697575
139.6775809,-29.98753936
139.6876729,-29.98753936
139.6977649,-29.98753936
139.7078569,-29.98753936
139.6775809,-29.97810297
139.6876729,-29.97810297
139.6977649,-29.97810297
139.7078569,-29.97810297
139.717949,-29.97810297
139.728041,-29.97810297
139.6775809,-29.96866658
139.6876729,-29.96866658
139.6977649,-29.96866658
139.7078569,-29.96866658
139.717949,-29.96866658
139.728041,-29.96866658
139.738133,-29.96866658
139.6775809,-29.95923019
139.6876729,-29.95923019
139.6977649,-29.95923019
139.7078569,-29.95923019
139.717949,-29.95923019
139.728041,-29.95923019
139.6775809,-29.9497938
139.6876729,-29.9497938
139.6977649,-29.9497938
139.7078569,-29.9497938
139.717949,-29.9497938
139.728041,-29.9497938
139.6775809,-29.94035741
139.6876729,-29.94035741
139.6977649,-29.94035741
139.7078569,-29.94035741
139.717949,-29.94035741
139.728041,-29.94035741
139.6775809,-29.93092102
139.6876729,-29.93092102
139.6977649,-29.93092102
139.7078569,-29.93092102
139.717949,-29.93092102
139.6775809,-29.92148463
139.6876729,-29.92148463
139.6977649,-29.92148463
139.7078569,-29.92148463
139.6775809,-29.91204824
139.6876729,-29.91204824
139.6977649,-29.91204824
139.7078569,-29.91204824
139.6775809,-29.90261185
139.6876729,-29.90261185
139.6977649,-29.90261185
139.6775809,-29.89317546
139.6876729,-29.89317546
139.6775809,-29.88373907
139.6775809,-29.87430267
139.5665686,-29.85542989
139.5766606,-29.85542989
139.5867526,-29.85542989
139.5968446,-29.85542989
139.6069367,-29.85542989
139.6170287,-29.85542989
139.6271207,-29.85542989
139.6372127,-29.85542989
139.6473048,-29.85542989
139.6573968,-29.85542989
139.5766606,-29.8459935
139.5867526,-29.8459935
139.5968446,-29.8459935
139.6069367,-29.8459935
139.6170287,-29.8459935
139.6271207,-29.8459935
139.6372127,-29.8459935
139.6473048,-29.8459935
139.6573968,-29.8459935
139.5968446,-29.83655711
139.6069367,-29.83655711
139.6170287,-29.83655711
139.6271207,-29.83655711
139.6372127,-29.83655711
139.6473048,-29.83655711
139.5968446,-29.82712072
139.6069367,-29.82712072
139.6170287,-29.82712072
139.6271207,-29.82712072
139.6372127,-29.82712072
139.6170287,-29.81768433
139.6271207,-29.81768433
