X,Y,V1,V2,V3,V4,V5,V6,V7
139.6562787,-30.00180335,3.331919524,0.195385322,1.668260489,-3.057393997,-1.307469021,-1.471822382,-1.688259437
139.6330015,-29.8772813,-0.46712957,-3.955131488,1.542688962,-0.411219108,-10.30863354,8.605784531,10.6130442
139.568089,-29.97521634,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5939366,-29.87234902,6.018049069,2.757345685,-7.416573938,2.301614714,-0.36427702,-2.373969704,-1.219255375
139.6376844,-29.97424364,1.062911926,2.954130268,-0.853392214,0.880720924,0.102806635,1.791398042,2.138563884
139.662202,-29.99432707,4.765217171,2.062143239,2.147529334,-2.993837871,-2.12703208,-2.231612444,-1.459170433
139.520267,-30.1197305,-1.970976144,0.127393567,3.428577278,0.655987529,-4.260665212,1.539367497,4.344349305
139.6010077,-29.83455681,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.2989876,-30.19252234,-2.736654536,-12.03611064,16.82962636,-4.234241449,1.501366533,3.673303841,1.958185735
139.4775956,-30.12419371,0.195524662,1.532397903,-3.333118429,-0.097431596,-0.410332893,0.392950114,0.786382336
139.6499937,-30.02864067,-2.417427528,-10.02576406,8.959211901,-5.253434767,8.746606987,-3.367676103,5.199322386
139.4525002,-30.10103189,3.885476833,8.772521035,0.567148419,3.005046256,-16.05872606,0.140534156,0.241615408
139.5765726,-29.93609746,-4.158801867,-2.729807972,4.747935249,2.017822352,-2.264160407,0.039075319,2.362207392
139.4856831,-30.14529766,1.241007534,0.087655842,-2.737051228,-4.74963295,0.189516042,1.270174039,1.973999939
139.3187948,-30.20723061,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.3082721,-30.18639943,-3.143921124,-10.23160013,13.15408627,-2.749405217,3.496730326,2.23839436,1.107725544
139.4684018,-30.16353252,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6284316,-29.96199966,7.987711094,-6.336974226,-1.504897687,2.504703343,2.019538049,3.269044904,-1.384746172
139.6070996,-29.9390155,-3.769597252,-0.916528604,4.106745766,1.562238282,-3.14341529,0.646069854,-0.040314799
139.5826955,-30.08809046,-2.704975882,-11.24767885,14.33628758,-1.901765459,-0.441244689,-1.138638846,2.152211425
139.4314963,-30.16799941,-0.796968458,2.942314261,-1.476343602,-0.484107494,-3.800748136,3.168116868,-0.94088796
139.3158216,-30.1422974,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6931713,-29.98212957,0.469533449,-4.083448192,-0.405373982,-0.406886023,0.849165027,0.933459894,1.522948715
139.6661196,-29.87269727,3.193151609,3.267145705,0.914783854,0.213266713,2.562574413,-5.676799257,3.860399598
139.700383,-29.96498943,6.117196156,-4.95963357,1.313418251,-4.886022869,1.62340923,2.77016671,1.312952179
139.4933966,-30.07532979,0.836906661,5.731455234,-1.123229635,2.63177633,-3.47340871,-0.143850764,-3.480093003
139.5394286,-30.0582179,-2.481344521,11.99625075,-10.49097308,8.273803371,3.285786187,-6.014531158,-1.066415939
139.6515237,-30.00098838,2.818972383,0.042925053,1.84465851,-1.939003381,-1.967382368,-1.423747088,0.02116275
139.4000953,-30.2176915,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5745968,-29.98315753,-4.715751291,-3.885915401,0.789554354,5.504910521,-1.838587245,-5.025154371,0.576966613
139.6956045,-29.99462977,0.602249364,-7.084920918,7.087304189,-5.234254388,0.689853591,-0.192534852,4.069573701
139.5588015,-29.87121235,5.400807069,-6.122770593,-0.800496184,3.221041143,-0.736261631,0.695027795,-2.502178193
139.6557115,-29.98131747,2.630894267,-1.238738651,-0.22237011,-0.335581191,0.244362799,-1.396078419,-1.410116505
139.6648204,-29.86904365,4.16560226,3.410346244,0.302230152,0.111126215,1.823066062,-4.759795901,3.371438638
139.3020643,-30.1240783,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6287625,-30.00573251,8.518674691,-5.806822998,-2.401999317,1.613984736,-1.193750699,0.424692168,-5.482934507
139.5785889,-29.91175352,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4459099,-30.1428049,2.284722766,7.202554816,-6.15186539,0.466182532,-4.348527367,4.897618864,3.883543612
139.5718808,-30.04822359,-0.629004848,0.996349761,1.110107858,-0.023764034,1.557044538,-2.522468206,-2.033354779
139.5859051,-29.95810825,-5.783065908,3.430352914,-1.391969286,4.754815195,-4.784410462,-2.243860031,-1.084442975
139.7294944,-29.94494146,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6087869,-29.95586194,-3.786497303,-1.40674025,4.860095429,0.684342245,-2.676422232,1.364076174,-0.032691988
139.6501807,-30.03055936,-2.417427528,-10.02576406,8.959211901,-5.253434767,8.746606987,-3.367676103,5.199322386
139.5761586,-30.03763495,-4.695138628,6.702220273,-5.336547412,7.24741099,-3.60146475,-7.468219899,-2.874130699
139.4028327,-30.21797691,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.2878623,-30.17559479,1.426129078,-0.870546011,-2.503703252,-1.806182626,1.846702651,-0.663322643,-3.37860157
